run_name,accuracy,uar,f1,train_loss,dev_loss,accuracy.std,uar.std,f1.std,train_loss.std,dev_loss.std,best_iteration,test_accuracy,test_uar,test_f1,test_loss
DCASE2018Task3-16k_Cnn10-AS-nonhuman-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9151318165402672,0.915391760779722,0.9136830923087887,0.1927172290826767,0.2510865396407913,0.0033099138280649,0.001353128799731,0.0031386591112224,0.0036152297806412,0.0126587964005255,5,0.8410000000000001,0.827822025346982,0.8010480269201646,0.5354320196608057
DCASE2018Task3-16k_Cnn10-AS-speech-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9111592632719394,0.9088701947447514,0.9092335270223588,0.1841935253828432,0.2740770766962608,0.0016549569140325,0.0020246142304077,0.0014764859055788,0.0010189859506723,0.0044987137947679,10,0.789875,0.8112965630744692,0.7563830524017668,0.8434950930007927
DCASE2018Task3-16k_Cnn10-AS-things-P_Adam_0.001_32_epoch_50_None_None_None_#,0.914650294931985,0.913698377537241,0.9129943364403602,0.2060652684578157,0.2489919367239654,0.0040268998877279,0.0007748784276038,0.0037194364788975,0.0017899959485592,0.0095724035191306,5,0.8282083333333334,0.8105902943045095,0.7850806848895271,0.4076088548414661
DCASE2018Task3-16k_Cnn10_Adam_0.001_32_epoch_50_None_None_None_#,0.9074274708077524,0.9053554769141248,0.905478525638296,0.1712383977171379,0.2740454646783155,0.0018177042097678,0.0017818996594528,0.0018298895099123,0.0175051093511925,0.0145652012144804,30,0.7629166666666668,0.7942079755626493,0.7311280258325796,0.5320631989389887
DCASE2020Task1A-16k_Cnn10-AS-0.01-P_Adam_0.001_32_epoch_50_None_None_None_#,0.5698554499992766,0.5930817316088195,0.5424903500965602,0.1227052407398872,2.3020101097190264,0.037266745993797,0.0331131857667394,0.0378897643627035,0.0205419927860629,0.380079454967711,34,0.5569407008086253,0.5569508902842236,0.551908910999479,2.095961086980417
DCASE2020Task1A-16k_Cnn10-AS-0.03-P_Adam_0.001_32_epoch_50_None_None_None_#,0.5847180850451954,0.5799216213054725,0.5542899186451565,0.1293326173279263,1.938462653131028,0.0222999079493857,0.0496666319329478,0.0520765226042503,0.0116480437657363,0.3336780031853724,18,0.5868149146451033,0.5867947492947493,0.5773288008487657,2.213068204832838
DCASE2020Task1A-16k_Cnn10-AS-0.1-P_Adam_0.001_32_epoch_50_None_None_None_#,0.6040281147164164,0.6002312209131501,0.559005873436164,0.0452343214978614,2.317317379948844,0.0205317673616231,0.0273204378451145,0.0314794213390613,0.0043523380376576,0.1226027026975579,45,0.5862533692722373,0.5862286528953197,0.5818395033473287,1.5159712946372672
DCASE2020Task1A-16k_Cnn10-AS-0.3-P_Adam_0.001_32_epoch_50_None_None_None_#,0.6109291507476068,0.6201734714551878,0.574054547265871,0.0689761223495036,1.931699782513958,0.026590549000546,0.0255886910632494,0.0258587338324194,0.0080008022279473,0.3404526061717495,22,0.6059074573225517,0.6058933933933933,0.6025507376507072,1.9815156924809123
DCASE2020Task1A-16k_Cnn10-AS-P_Adam_0.001_32_epoch_50_None_None_None_#,0.6183112387782808,0.6278169978640052,0.5860813541196684,0.0440520374349793,2.1499654287996144,0.0218204388893833,0.0322733293969366,0.0377765326714195,0.008841267679332,0.171927463476974,35,0.6261230907457324,0.6260859344192679,0.6251656741457768,1.694026703292385
DCASE2020Task1A-16k_Cnn10-AS-animal-P_Adam_0.001_32_epoch_50_None_None_None_#,0.5883302128182114,0.5903553432277331,0.5512559419531634,0.0450701489039322,2.386045852570004,0.021916034522266,0.0416890178814495,0.0402093860908058,0.0086475568615369,0.0909335162911685,41,0.5634546271338724,0.5634365426032093,0.5561993176493171,2.3004150511630885
DCASE2020Task1A-16k_Cnn10-AS-humansounds-P_Adam_0.001_32_epoch_50_None_None_None_#,0.5841280179893689,0.59638851274392,0.5517921379854086,0.0345999064446047,2.379748757670659,0.014251460101783,0.0495787032001862,0.0540109965510317,0.0032826747472649,0.1107292057047443,46,0.5900718778077269,0.5900351108684442,0.5896197906788948,1.97923413315352
DCASE2020Task1A-16k_Cnn10-AS-naturalsounds-P_Adam_0.001_32_epoch_50_None_None_None_#,0.5697806572738676,0.5639656745508338,0.5292316033006573,0.135733472407341,1.9173599084742767,0.0426648207008883,0.0278929999601437,0.0077222216234648,0.0047919484479551,0.2286651000633323,28,0.5807502246181492,0.580686747353414,0.5707554407017005,2.053495858815756
