run_name,ml-accuracy,ml-f1-micro,ml-f1-macro,ml-f1-weighted,train_loss,dev_loss,best_iteration,test_ml-accuracy,test_ml-f1-micro,test_ml-f1-macro,test_ml-f1-weighted,test_loss
AudioSet-16k-animal_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.180223285486443,0.528817119600893,0.442273399806955,0.48817239872725,0.0414007706846308,0.0949486368335783,30,0.180223285486443,0.528817119600893,0.442273399806955,0.48817239872725,0.0949486368335784
AudioSet-16k-humansounds_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.557728598387373,0.701996265977309,0.229955213626376,0.60703653842587,0.0060440560161755,0.0453122380249043,24,0.557728598387373,0.701996265977309,0.229955213626376,0.60703653842587,0.0453122380249044
AudioSet-16k-naturalsounds_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.343301435406699,0.56853725850966,0.493418624477103,0.53959807355265,0.143630923178731,0.142503820359707,28,0.343301435406699,0.56853725850966,0.493418624477103,0.53959807355265,0.142503820359707
AudioSet-16k-naturalsources_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.379464857252593,0.581224917117432,0.291765585209037,0.497562052703346,0.0059351543379477,0.0320049859583377,28,0.379464857252593,0.581224917117432,0.291765585209037,0.497562052703346,0.0320049859583378
AudioSet-16k-nature_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.197568389057751,0.524060850667495,0.425347316498404,0.482816901719166,0.03640528439688,0.0647994352673942,27,0.197568389057751,0.524060850667495,0.425347316498404,0.482816901719166,0.0647994352673942
AudioSet-16k-nonhuman_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.138826438848921,0.408755172280444,0.315804654504992,0.354463209622422,0.0143474802311875,0.0236030738066199,23,0.138826438848921,0.408755172280444,0.315804654504992,0.354463209622422,0.02360307380662
AudioSet-16k-reduced-0.01_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.0021361000915471,0.298203447858489,0.0250357011274606,0.178897783710182,0.0081039020619182,0.0272285481485036,26,0.00213610009154715,0.298203447858489,0.0250357011274607,0.178897783710182,0.0272285481485037
AudioSet-16k-reduced-0.03_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.0111077204760451,0.345247295208655,0.0850963645455603,0.238051359283131,0.0061632931918811,0.0250220111356331,30,0.0111077204760452,0.345247295208655,0.0850963645455603,0.238051359283131,0.0250220111356332
AudioSet-16k-reduced-0.1_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.0215440952090326,0.380554928942026,0.118747907448837,0.272974082754776,0.0059225438867075,0.022844912068775,30,0.0215440952090327,0.380554928942026,0.118747907448837,0.272974082754776,0.0228449120687751
AudioSet-16k-reduced-0.3_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.0364967958498626,0.410307512650837,0.172362451565352,0.314198480987396,0.0057738774182287,0.0185946721583604,28,0.0364967958498627,0.410307512650837,0.172362451565352,0.314198480987396,0.0185946721583605
AudioSet-16k-speech_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.906015037593985,0.942299156679982,0.222332750025485,0.912647379993604,0.0191028704185763,0.0651912465691566,24,0.906015037593985,0.942299156679982,0.222332750025485,0.912647379993604,0.0651912465691567
AudioSet-16k-things_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.159958871915394,0.385523942514691,0.309309749868297,0.336503232805551,0.0167837403540938,0.0319499171931635,29,0.159958871915394,0.385523942514691,0.309309749868297,0.336503232805551,0.0319499171931635
AudioSet-16k_Cnn10_Adam_0.001_128_epoch_30_None_None_None_1,0.0474824534635337,0.431269104845842,0.194720307000705,0.331537209705556,0.0060666586701517,0.0166574048451506,30,0.0474824534635337,0.431269104845842,0.194720307000705,0.331537209705556,0.0166574048451506
